interval_id,interval_start,interval_end 
1,0:00,0:15 
2,0:15,0:30 
3,0:30,0:45 
4,0:45,1:00 
5,1:00,1:15 
6,1:15,1:30 
7,1:30,1:45 
8,1:45,2:00 
9,2:00,2:15 
10,2:15,2:30 
11,2:30,2:45 
12,2:45,3:00 
13,3:00,3:15 
14,3:15,3:30 
15,3:30,3:45 
16,3:45,4:00 
17,4:00,4:15 
18,4:15,4:30 
19,4:30,4:45 
20,4:45,5:00 
21,5:00,5:15 
22,5:15,5:30 
23,5:30,5:45 
24,5:45,6:00 
25,6:00,6:15 
26,6:15,6:30 
27,6:30,6:45 
28,6:45,7:00 
29,7:00,7:15 
30,7:15,7:30 
31,7:30,7:45 
32,7:45,8:00 
33,8:00,8:15 
34,8:15,8:30 
35,8:30,8:45 
36,8:45,9:00 
37,9:00,9:15 
38,9:15,9:30 
39,9:30,9:45 
40,9:45,10:00 
41,10:00,10:15 
42,10:15,10:30 
43,10:30,10:45 
44,10:45,11:00 
45,11:00,11:15 
46,11:15,11:30 
47,11:30,11:45 
48,11:45,12:00 
49,12:00,12:15 
50,12:15,12:30 
51,12:30,12:45 
52,12:45,13:00 
53,13:00,13:15 
54,13:15,13:30 
55,13:30,13:45 
56,13:45,14:00 
57,14:00,14:15 
58,14:15,14:30 
59,14:30,14:45 
60,14:45,15:00 
61,15:00,15:15 
62,15:15,15:30 
63,15:30,15:45 
64,15:45,16:00 
65,16:00,16:15 
66,16:15,16:30 
67,16:30,16:45 
68,16:45,17:00 
69,17:00,17:15 
70,17:15,17:30 
71,17:30,17:45 
72,17:45,18:00 
73,18:00,18:15 
74,18:15,18:30 
75,18:30,18:45 
76,18:45,19:00 
77,19:00,19:15 
78,19:15,19:30 
79,19:30,19:45 
80,19:45,20:00 
81,20:00,20:15 
82,20:15,20:30 
83,20:30,20:45 
84,20:45,21:00 
85,21:00,21:15 
86,21:15,21:30 
87,21:30,21:45 
88,21:45,22:00 
89,22:00,22:15 
90,22:15,22:30 
91,22:30,22:45 
92,22:45,23:00 
93,23:00,23:15 
94,23:15,23:30 
95,23:30,23:45 
96,23:45,0:00
